,BLEU,ROUGE1,ROUGE2,ROUGEL,BERT_P,BERT_R,BERT_F1
"('consulta_6F63B0E0-3892-440D-97BE-73050A768331_respuesta.json', 'respuesta_consulta_6F63B0E0-3892-440D-97BE-73050A768331.txt_with_template.txt')",0.1283069414281167,0.4714285714285714,0.21203438395415472,0.2885714285714286,0.8024028539657593,0.8153656721115112,0.8088323473930359
"('consulta_62C2C95D-C4EE-4D78-BFAF-604E44981A7C_respuesta.json', 'respuesta_consulta_62C2C95D-C4EE-4D78-BFAF-604E44981A7C.txt_with_template.txt')",0.16983636578091443,0.5325884543761639,0.20560747663551404,0.3016759776536313,0.816798210144043,0.8168781399726868,0.8168382048606873
"('primera_visita_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F_respuesta.json', 'respuesta_primera_visita_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F.txt_with_template.txt')",0.1527498748805422,0.39714285714285713,0.17191977077363899,0.20285714285714285,0.7739577889442444,0.7840341329574585,0.7789633274078369
"('consulta_3B34F1DD-879D-4C07-AC67-546A0C47319E_respuesta.json', 'respuesta_consulta_3B34F1DD-879D-4C07-AC67-546A0C47319E.txt_with_template.txt')",0.12152361471777887,0.4535073409461664,0.1407528641571195,0.22512234910277323,0.7529871463775635,0.7395607233047485,0.7462134957313538
"('consulta_D99C6421-5D55-4FF3-86CC-3FED550B643E_respuesta.json', 'respuesta_consulta_D99C6421-5D55-4FF3-86CC-3FED550B643E.txt_with_template.txt')",0.10583824149058414,0.43018867924528303,0.1212121212121212,0.21509433962264152,0.7787105441093445,0.7828958034515381,0.78079754114151
"('consulta_A9B80CA9-786B-4CFC-ACE1-6F346A9D93FA_respuesta.json', 'respuesta_consulta_A9B80CA9-786B-4CFC-ACE1-6F346A9D93FA.txt_with_template.txt')",0.11786033706950912,0.39779005524861877,0.14681440443213295,0.22375690607734808,0.7327446937561035,0.7341112494468689,0.7334272861480713
"('primera_visita_6F63B0E0-3892-440D-97BE-73050A768331_respuesta.json', 'respuesta_primera_visita_6F63B0E0-3892-440D-97BE-73050A768331.txt_with_template.txt')",0.1744274853547498,0.5583756345177664,0.25127334465195245,0.311336717428088,0.8043235540390015,0.8144528269767761,0.8093565106391907
"('primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897_respuesta.json', 'respuesta_primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897.txt_with_template.txt')",0.14143969105763987,0.4690026954177897,0.22702702702702704,0.25067385444743934,0.7960818409919739,0.8137971758842468,0.8048419952392578
"('consulta_88124EA7-DD57-4CF0-A669-862B3A191103_respuesta.json', 'respuesta_consulta_88124EA7-DD57-4CF0-A669-862B3A191103.txt_with_template.txt')",0.13516481768556815,0.3940740740740741,0.19910846953937594,0.2162962962962963,0.8009849190711975,0.7950364351272583,0.7979995608329773
"('consulta_67272595-F178-4764-B680-7E6408069649_respuesta.json', 'respuesta_consulta_67272595-F178-4764-B680-7E6408069649.txt_with_template.txt')",0.114782356905626,0.400520156046814,0.16688396349413298,0.19505851755526657,0.7604184746742249,0.7812401652336121,0.7706887722015381
"('primera_visita_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC_respuesta.json', 'respuesta_primera_visita_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC.txt_with_template.txt')",0.17141495747120536,0.5755627009646302,0.27096774193548384,0.3183279742765273,0.8160157203674316,0.817795991897583,0.8169049024581909
"('consulta_D1CD8A5D-EBFB-4D37-9BB3-40BA996AC02B_respuesta.json', 'respuesta_consulta_D1CD8A5D-EBFB-4D37-9BB3-40BA996AC02B.txt_with_template.txt')",0.11800981724676453,0.4589041095890411,0.16151202749140894,0.2089041095890411,0.7636341452598572,0.769140362739563,0.7663773894309998
"('primera_visita_3B34F1DD-879D-4C07-AC67-546A0C47319E_respuesta.json', 'respuesta_primera_visita_3B34F1DD-879D-4C07-AC67-546A0C47319E.txt_with_template.txt')",0.2261307535649555,0.6051873198847263,0.3670520231213873,0.3054755043227666,0.8140760660171509,0.8128310441970825,0.8134531378746033
