,,BLEU,ROUGE1,ROUGE2,ROUGEL,BERT_P,BERT_R,BERT_F1
llama3.1_test-primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897-template_temp_0.2.json,respuesta_primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897.txt_with_template.txt,0.11144976995023083,0.3727121464226289,0.11686143572621036,0.1996672212978369,0.7208356857299805,0.7160604000091553,0.7184401750564575
llama3.2_test-consulta_DC089D0E-199C-4175-A397-FDC478446E22-chain_of_thought_temp_0.2.json,respuesta_consulta_DC089D0E-199C-4175-A397-FDC478446E22.txt_with_template.txt,0.08064744800929978,0.23232323232323232,0.027027027027027025,0.09090909090909091,0.691764771938324,0.6852408647537231,0.6884874105453491
llama3.1_test-consulta_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F-few-shot_examples_temp_0.8.json,respuesta_consulta_8A71C7A0-6F38-4E12-8890-7AA3252AAF8F.txt_with_template.txt,0.1184064773038988,0.45134575569358176,0.16632016632016633,0.2194616977225673,0.7221381664276123,0.716788649559021,0.7194534540176392
qwen:14b_test-primera_visita_068FE9E4-971F-40C5-9473-33BA61FDB234-stepwise_refinement_temp_0.8.json,respuesta_primera_visita_068FE9E4-971F-40C5-9473-33BA61FDB234.txt_with_template.txt,0.057012347057521465,0.3463414634146341,0.09803921568627451,0.18048780487804875,0.6970970630645752,0.6720135807991028,0.6843255758285522
llama3.2_test-primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF--chunked_temp_0.8.json,respuesta_primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF.txt_with_template.txt,0.15585879408253148,0.47564469914040114,0.21839080459770113,0.24641833810888253,0.7743235230445862,0.7828412652015686,0.7785590887069702
deepseek-r1:8b_test-primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897-few-shot_examples_temp_0.8.json,respuesta_primera_visita_42583690-5EF3-4D85-ADCC-F4D0AC9D0897.txt_with_template.txt,0.0720930164374348,0.08778625954198473,0.0,0.04961832061068702,0.6776564121246338,0.689947247505188,0.6837465763092041
phi4_test-primera_visita_DC089D0E-199C-4175-A397-FDC478446E22--chunked_temp_0.2.json,respuesta_primera_visita_DC089D0E-199C-4175-A397-FDC478446E22.txt_with_template.txt,0.17457360039413797,0.5480314960629922,0.30647709320695105,0.4,0.820618748664856,0.8286030292510986,0.8245915174484253
qwen:14b_test-primera_visita_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC--chunked_temp_0.5.json,respuesta_primera_visita_D4D0DC26-BA1A-42AB-890F-75FAFFD7A2BC.txt_with_template.txt,0.06782982760496412,0.43333333333333335,0.1674641148325359,0.21904761904761907,0.7303102612495422,0.7095102071762085,0.719760000705719
deepseek-r1:8b_test-primera_visita_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6--chunked_temp_0.8.json,respuesta_primera_visita_B2D7B2AE-8C70-44D2-8182-304C48CA8BB6.txt_with_template.txt,0.03286478453363773,0.06845965770171149,0.0,0.039119804400977995,0.6497355699539185,0.627250075340271,0.6382948756217957
mistral_test-primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF-template_temp_0.2.json,respuesta_primera_visita_37580D0A-AFC1-4145-9E5E-D57E25B997DF.txt_with_template.txt,0.07974293125927494,0.3123732251521299,0.07331975560081466,0.1663286004056795,0.6699504852294922,0.669397234916687,0.6696737408638
mistral_test-primera_visita_88124EA7-DD57-4CF0-A669-862B3A191103-chain_of_thought_temp_0.8.json,respuesta_primera_visita_88124EA7-DD57-4CF0-A669-862B3A191103.txt_with_template.txt,0.06721034620628409,0.09623430962343095,0.0,0.05857740585774059,0.6301932334899902,0.6150617003440857,0.6225355267524719
qwen:14b_test-consulta_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D--chunked_temp_0.2.json,respuesta_consulta_5EEBC636-AAB1-43CE-9BBA-FE7F5233FF0D.txt_with_template.txt,0.0553761367812339,0.33189655172413796,0.08658008658008658,0.15948275862068967,0.6734222769737244,0.6356655955314636,0.6539994478225708
phi4_test-consulta_6F63B0E0-3892-440D-97BE-73050A768331--chunked_temp_0.2.json,respuesta_consulta_6F63B0E0-3892-440D-97BE-73050A768331.txt_with_template.txt,0.07587312563173483,0.1606425702811245,0.03758389261744966,0.11512717536813923,0.733154296875,0.7476366758346558,0.7403246164321899
mistral_test-primera_visita_E1706C92-574B-4C9A-97FD-633412F357E0-chain_of_thought_temp_0.8.json,respuesta_primera_visita_E1706C92-574B-4C9A-97FD-633412F357E0.txt_with_template.txt,0.09059885900155733,0.14113597246127366,0.037996545768566495,0.08605851979345956,0.7090770602226257,0.7162870168685913,0.7126638293266296
llama3.1_test-primera_visita_6F63B0E0-3892-440D-97BE-73050A768331-stepwise_refinement_temp_0.2.json,respuesta_primera_visita_6F63B0E0-3892-440D-97BE-73050A768331.txt_with_template.txt,0.08494218176288744,0.42270058708414876,0.14145383104125736,0.18395303326810178,0.6993396282196045,0.6757165193557739,0.6873251795768738
deepseek-r1:8b_test-primera_visita_6FC726D1-9369-4435-B443-192396C6B13E-few-shot_examples_temp_0.2.json,respuesta_primera_visita_6FC726D1-9369-4435-B443-192396C6B13E.txt_with_template.txt,0.071793185488263,0.06677796327212021,0.0033500837520938024,0.033388981636060105,0.6933298110961914,0.708482027053833,0.7008240222930908
llama3.1_test-primera_visita_AA7F4069-3FAD-411E-AEDE-1D299321E3B8-few-shot_examples_temp_0.2.json,respuesta_primera_visita_AA7F4069-3FAD-411E-AEDE-1D299321E3B8.txt_with_template.txt,0.12463287487416592,0.42436974789915966,0.18143459915611812,0.23529411764705882,0.7039039731025696,0.7077838182449341,0.7058385014533997
qwen:14b_test-consulta_62C2C95D-C4EE-4D78-BFAF-604E44981A7C-chain_of_thought_temp_0.8.json,respuesta_consulta_62C2C95D-C4EE-4D78-BFAF-604E44981A7C.txt_with_template.txt,0.02260272241454461,0.19576719576719573,0.02127659574468085,0.12698412698412698,0.6439635753631592,0.6267416477203369,0.6352359056472778
qwen:14b_test-consulta_94C58E41-5BFE-402B-92C0-18888CD824E4-template_temp_0.2.json,respuesta_consulta_94C58E41-5BFE-402B-92C0-18888CD824E4.txt_with_template.txt,0.06013724677151768,0.35467980295566504,0.18316831683168316,0.19704433497536947,0.707375168800354,0.6427860856056213,0.6735356450080872
qwen:14b_test-consulta_AA7F4069-3FAD-411E-AEDE-1D299321E3B8-few-shot_examples_temp_0.2.json,respuesta_consulta_AA7F4069-3FAD-411E-AEDE-1D299321E3B8.txt_with_template.txt,0.017234207184814884,0.2562674094707521,0.06162464985994398,0.15041782729805014,0.6711459159851074,0.6065244078636169,0.6372009515762329
phi4_test-consulta_E1706C92-574B-4C9A-97FD-633412F357E0-template_temp_0.2.json,respuesta_consulta_E1706C92-574B-4C9A-97FD-633412F357E0.txt_with_template.txt,0.07364687199364345,0.14285714285714285,0.01937984496124031,0.08494208494208494,0.7266284823417664,0.7308552265167236,0.7287356853485107
mistral_test-primera_visita_94966A31-A634-4A23-BF92-F4CAC47BB189-chain_of_thought_temp_0.8.json,respuesta_primera_visita_94966A31-A634-4A23-BF92-F4CAC47BB189.txt_with_template.txt,0.12059974884490766,0.41347626339969373,0.09831029185867896,0.18376722817764166,0.7328317165374756,0.674750804901123,0.7025929689407349
